Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,1,1,0.7255,0.0,0.7255,0.098,0.8235,100.307,104.53,0.923,1.07,105.59,1,1,0.7267,1.0,-,"[0.0e+00 8.0e+01 0.0e+00 0.0e+00 6.5e+03 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 4.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 1.0e+00 0.0e+00]","[0.0e+00 8.0e+01 0.0e+00 0.0e+00 6.5e+03 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 4.0e+00 0.0e+00 0.0e+00 2.0e+00 2.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 1.0e+00 0.0e+00]"
2,sat,2,0,0,0,0,0.7843,0.0,0.7843,0,0.7843,31.851,32.63,0,0.0,32.63,1,1,0.7267,1.0,-,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.18e+04 2.00e+00 0.00e+00 2.00e+00
 0.00e+00 1.00e+00 0.00e+00 1.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 0.00e+00]","[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.18e+04 2.00e+00 0.00e+00 2.00e+00
 0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 0.00e+00]"
3,unknown,2,0,1,1,0,0.6667,0.0,0.6667,0.0196,0.6863,100.056,100.65,100.008,100.16,200.81,0,0,0.7267,1.0,-,,
4,sat,3,0,1,0,0,0.7843,0.0,0.7843,0,0.7843,23.174,23.92,0,0.0,23.92,1,1,0.7267,1.0,-,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.55e+04 1.00e+00 1.00e+00 3.00e+00
 0.00e+00 1.00e+00 0.00e+00 1.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 1.00e+00]","[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.55e+04 1.00e+00 1.00e+00 3.00e+00
 0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 1.00e+00]"
5,sat,4,0,1,0,0,0.7843,0.0,0.7843,0,0.7843,4.584,5.33,0,0.0,5.33,1,1,0.7267,1.0,-,"[0.0e+00 0.0e+00 0.0e+00 0.0e+00 8.7e+03 0.0e+00 0.0e+00 1.0e+00 0.0e+00
 4.0e+00 2.0e+00 1.0e+00 0.0e+00 0.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 0.0e+00]","[0.0e+00 0.0e+00 0.0e+00 0.0e+00 8.7e+03 0.0e+00 0.0e+00 1.0e+00 0.0e+00
 4.0e+00 2.0e+00 0.0e+00 0.0e+00 0.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 0.0e+00]"
6,unknown,4,0,2,1,0,0.7255,0.0,0.7255,0.0392,0.7647,100.108,100.89,100.064,100.18,201.07,0,0,0.7267,1.0,-,,
7,sat,5,0,2,0,0,0.7843,0.0,0.7843,0,0.7843,9.342,10.09,0,0.0,10.09,1,1,0.7267,1.0,-,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.28e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 0.00e+00 1.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 1.00e+00]","[0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.28e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 1.00e+00]"
8,sat,6,0,2,0,0,0.7255,0.0,0.7255,0,0.7255,56.57,57.36,0,0.0,57.36,1,1,0.7267,1.0,-,"[0.e+00 0.e+00 0.e+00 0.e+00 4.e+03 0.e+00 0.e+00 4.e+00 0.e+00 1.e+00
 2.e+00 1.e+00 0.e+00 2.e+00 1.e+00 0.e+00 2.e+00 0.e+00 0.e+00 0.e+00]","[0.e+00 0.e+00 0.e+00 0.e+00 4.e+03 0.e+00 0.e+00 4.e+00 0.e+00 1.e+00
 2.e+00 0.e+00 0.e+00 2.e+00 1.e+00 0.e+00 2.e+00 0.e+00 0.e+00 0.e+00]"
9,sat,7,0,2,0,0,0.7843,0.0,0.7843,0,0.7843,18.65,19.4,0,0.0,19.4,1,1,0.7267,1.0,-,"[1.0000e+00 4.0000e+01 2.0000e+00 4.0000e+00 1.9299e+04 2.0000e+00
 1.0000e+00 4.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00
 2.0000e+00 0.0000e+00 4.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00
 0.0000e+00 1.0000e+00]","[1.0000e+00 4.0000e+01 2.0000e+00 4.0000e+00 1.9299e+04 2.0000e+00
 1.0000e+00 4.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 0.0000e+00
 2.0000e+00 0.0000e+00 4.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00
 0.0000e+00 1.0000e+00]"
10,sat,8,0,2,0,0,0.7843,0.0,0.7843,0,0.7843,29.295,30.04,0,0.0,30.04,1,1,0.7267,1.0,-,"[0.00e+00 4.00e+00 1.00e+00 0.00e+00 1.84e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 0.00e+00 1.00e+00 0.00e+00 0.00e+00 2.00e+00 0.00e+00
 1.00e+00 0.00e+00 1.00e+00 0.00e+00]","[0.00e+00 4.00e+00 1.00e+00 0.00e+00 1.84e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 2.00e+00 0.00e+00
 1.00e+00 0.00e+00 1.00e+00 0.00e+00]"
